,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2020-09-15 23:00:00,0.9659258262890478,-0.2588190451025972,0.9993007047883989,-0.03739119427631663,-0.25471793619012373,-0.9670153943878267,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175
2020-09-16 00:00:00,1.0,-1.273855504142419e-13,1.0,-1.9569589560894117e-15,-0.2540247264758446,-0.9671977245314798,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508
2020-09-16 01:00:00,0.9659258262891137,0.2588190451023511,0.9993007047883979,0.03739119427634112,-0.25333138624772733,-0.9673795577444279,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285
2020-09-16 02:00:00,0.8660254037845506,0.49999999999980604,0.9972037971811798,0.07473009358642879,-0.25263791586200063,-0.9675608939332473,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917
2020-09-16 03:00:00,0.70710678118674,0.7071067811863551,0.9937122098932433,0.1119644761033015,-0.25194431567495773,-0.9677417330047708,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006
2020-09-16 04:00:00,0.5000000000000806,0.8660254037843921,0.9888308262251269,0.14904226617618538,-0.25125058604295836,-0.9679220748660865,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488
2020-09-16 05:00:00,0.2588190451026573,0.9659258262890317,0.9825664732332882,0.1859116071629147,-0.25055672732243145,-0.968101919424537,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799
2020-09-16 06:00:00,1.8961927213320805e-13,1.0,0.9749279121818197,0.22252093395633155,-0.24986273986986965,-0.9682812665877213,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716
2020-09-16 07:00:00,-0.258819045102291,0.9659258262891298,0.9659258262890665,0.2588190451025272,-0.24916862404183174,-0.968460116263494,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696
2020-09-16 08:00:00,-0.4999999999997522,0.8660254037845817,0.955572805786142,0.29475517441090004,-0.24847438019494503,-0.9686384683599645,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864
2020-09-16 09:00:00,-0.7071067811864719,0.7071067811866233,0.9438833303083632,0.3302790619551795,-0.24778000868590003,-0.9688163227854986,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403
2020-09-16 10:00:00,-0.866025403784361,0.5000000000001346,0.9308737486442035,0.36534102436639704,-0.24708550987145284,-0.9689936794487176,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403,842.795
2020-09-16 11:00:00,-0.9659258262890156,0.2588190451027174,0.9165622558699796,0.3998920243197329,-0.24639088410842755,-0.9691705382584983,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403,842.795,864.728
2020-09-16 12:00:00,-1.0,2.5185299385217417e-13,0.9009688679024154,0.43388373911756595,-0.24569613175371094,-0.9693468991239736,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403,842.795,864.728,883.521
2020-09-16 13:00:00,-0.9659258262890871,-0.2588190451024505,0.8841153935046109,0.46726862827306,-0.24500125316425475,-0.9695227619545324,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403,842.795,864.728,883.521,888.256
2020-09-16 14:00:00,-0.8660254037844991,-0.4999999999998952,0.866025403784431,0.5000000000000132,-0.24430624869707818,-0.9696981266598185,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319,732.175,671.508,630.285,606.917,591.006,587.488,596.799,637.716,701.696,773.864,820.403,842.795,864.728,883.521,888.256,899.649
