,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2022-07-17 18:00:00,-4.1399561107864713e-13,-1.0,-0.433883739117509,-0.9009688679024428,-0.9639772428991166,-0.2659847273296301,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649
2022-07-17 19:00:00,0.25881904510229387,-0.965925826289129,-0.3998920243197271,-0.9165622558699823,-0.9637863408069781,-0.26667562557139596,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343
2022-07-17 20:00:00,0.49999999999916406,-0.8660254037849213,-0.3653410243664176,-0.9308737486441954,-0.9635949435368493,-0.26736638679949337,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564
2022-07-17 21:00:00,0.7071067811859917,-0.7071067811871035,-0.3302790619551198,-0.9438833303083841,-0.9634030511870663,-0.26805701065902204,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248
2022-07-17 22:00:00,0.8660254037841351,-0.5000000000005258,-0.294755174410894,-0.9555728057861439,-0.9632106638562203,-0.26874749679515036,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044
2022-07-17 23:00:00,0.9659258262889575,-0.25881904510293413,-0.25881904510254844,-0.9659258262890609,-0.963017781643157,-0.2694378448531177,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087
2022-07-18 00:00:00,1.0,-2.488556573543812e-13,-0.2225209339562699,-0.9749279121818337,-0.9628244046469762,-0.2701280544782343,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937
2022-07-18 01:00:00,0.9659258262893218,0.2588190451015749,-0.18591160716290842,-0.9825664732332894,-0.9626305329670313,-0.2708181253158831,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937,979.567
2022-07-18 02:00:00,0.8660254037848387,0.49999999999930705,-0.14904226617620717,-0.9888308262251236,-0.9624361667029314,-0.2715080570115135,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937,979.567,931.406
2022-07-18 03:00:00,0.7071067811869867,0.7071067811861084,-0.1119644761032669,-0.9937122098932472,-0.9622413059545384,-0.27219784921065115,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937,979.567,931.406,903.54
2022-07-18 04:00:00,0.5000000000003827,0.8660254037842177,-0.07473009358642242,-0.9972037971811802,-0.9620459508219686,-0.272887501558892,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937,979.567,931.406,903.54,885.104
2022-07-18 05:00:00,0.25881904510277465,0.9659258262890003,-0.03739119427636314,-0.9993007047883972,-0.9618501014055924,-0.27357701370190374,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789,1402.649,1358.343,1302.564,1273.248,1230.044,1140.087,1048.937,979.567,931.406,903.54,885.104,890.113
